Word,Length,Use_rate
acanthoscelides_obtectus,23,333520
acanthosis,10,199941
acanthosis_nigricans,19,333521
acanthuridae,12,333522
acanthurus,10,266531
acanthurus_chirurgus,19,333523
acanthus,8,74764
acanthus_family,14,333524
acanthus_mollis,14,333525
acapnia,7,333526
acapulco,8,19808
acapulco_de_juarez,16,333527
acapulco_gold,12,333528
acaracide,9,333529
acardia,7,333530
acariasis,9,333531
acaricide,9,333532
acarid,6,333533
acaridae,8,333534
acaridiasis,11,333535
acarina,7,247074
acarine,7,333536
acariosis,9,333537
acaroid_resin,12,333538
acarophobia,11,333539
acarus,6,333540
acaryote,8,333541
acatalectic,11,333542
acataphasia,11,333543
acathexia,9,333544
acathexis,9,333545
acc,3,3022
accaroid_resin,13,333546
accelerando,11,264484
acceleration,12,11391
acceleration_unit,16,333547
accelerator,11,12164
accelerator_factor,17,333548
accelerator_pedal,16,333549
accelerometer,13,49701
accent,6,8873
accent_mark,10,333550
accenting,9,133038
accentor,8,279802
accentual_system,15,333551
accentuation,12,172882
acceptability,13,32646
acceptableness,14,333552
acceptance,10,2187
acceptance_sampling,18,333553
acceptation,11,138086
acceptor,8,38716
acceptor_rna,11,333554
access,6,324
access_code,10,333555
access_road,10,333556
access_time,10,333557
accessary,9,333558
accessibility,13,3824
accession,9,10512
accessory,9,3868
accessory_after_the_fact,21,333559
accessory_before_the_fact,22,333560
accessory_cephalic_vein,21,333561
accessory_during_the_fact,22,333562
accessory_fruit,14,333563
accessory_hemiazygos_vein,23,333564
accessory_hemiazygous_vein,24,333565
accessory_nerve,14,333566
accessory_vertebral_vein,22,333567
accho,5,333568
acciaccatura,12,333569
accidence,9,333570
accident,8,3865
accident_surgery,15,333571
accidental,10,11733
accidental_injury,16,333572
accipiter,9,104075
accipiter_cooperii,17,333573
accipiter_gentilis,17,333574
accipiter_nisus,14,333575
accipitridae,12,238832
accipitriformes,15,333576
acclaim,7,18782
acclamation,11,93413
acclimation,11,84107
acclimatisation,15,195555
acclimatization,15,109597
acclivity,9,172553
accolade,8,47627
accommodating_iol,16,333577
accommodating_lens_implant,24,333578
accommodation,13,1349
accommodation_endorser,21,333579
accommodation_ladder,19,333580
accommodation_reflex,19,333581
accommodator,12,333582
accompaniment,13,20225
accompanist,11,77921
accompanying_vein,16,333583
accompanyist,12,333584
accomplice,10,51537
accomplished_fact,16,333585
accomplishment,14,18065
accord,6,10024
accord_and_satisfaction,21,333586
accordance,10,3059
accordance_of_rights,18,333587
accordion,9,23433
accordion_door,13,333588
accordionist,12,167226
accouchement,12,333589
accoucheur,10,333590
accoucheuse,11,333591
account,7,361
account_book,11,333592
account_executive,16,333593
account_payable,14,333594
account_representative,21,333595
account_statement,16,333596
accountability,14,6690
accountancy,11,15265
accountant,10,11090
accountantship,14,333597
accounting,10,1987
accounting_data,14,333598
accounting_entry,15,333599
accounting_firm,14,333600
accounting_principle,19,333601
accounting_standard,18,333602
accounting_system,16,333603
accounts_payable,15,333604
accounts_receivable,18,333605
accouterment,12,333606
accoutrement,12,332026
accra,5,36316
accreditation,13,8232
accretion,9,33870
accroides,9,333607
accroides_gum,12,333608
accroides_resin,14,333609
accrual,7,26242
accrual_basis,12,333610
accruement,10,333611
acculturation,13,76527
accumulation,12,11475
accumulator,11,42894
accumulator_register,19,333612
accuracy,8,2701
accusal,7,333613
accusation,10,28954
accusative,10,80375
accusative_case,14,333614
accused,7,6884
accuser,7,55269
ace,3,5688
ace_inhibitor,12,333615
ace_of_clubs,10,333616
ace_of_diamonds,13,333617
ace_of_hearts,11,333618
ace_of_spades,11,333619
acebutolol,10,175380
acedia,6,333620
acellular_slime_mold,18,333621
acentric_chromosome,18,333622
acephalia,9,333623
acephalism,10,333624
acephaly,8,333625
acer,4,7203
acer_argutum,11,333626
acer_campestre,13,333627
acer_circinatum,14,333628
acer_glabrum,11,333629
acer_japonicum,13,333630
acer_macrophyllum,16,333631
acer_negundo,11,333632
acer_negundo_californicum,23,333633
acer_palmatum,12,333634
acer_pennsylvanicum,18,333635
acer_platanoides,15,333636
acer_pseudoplatanus,18,333637
acer_rubrum,10,333638
acer_saccharinum,15,333639
acer_saccharum,13,333640
acer_spicatum,12,333641
aceraceae,9,223173
acerate_leaf,11,333642
acerbity,8,333643
acerola,7,155643
acervulus,9,333644
acetabulum,10,155232
acetal,6,81416
acetaldehyde,12,74561
acetaldol,9,333645
acetamide,9,164821
acetaminophen,13,22934
acetanilid,10,333646
acetanilide,11,333647
acetate,7,16977
acetate_disk,11,333648
acetate_rayon,12,333649
acetic_acid,10,333650
acetic_anhydride,15,333651
acetin,6,333652
acetoacetic_acid,15,333653
acetone,7,35911
acetone_body,11,333654
acetonemia,10,333655
acetonuria,10,333656
acetophenetidin,15,333657
acetphenetidin,14,333658
acetum,6,333659
acetyl,6,29234
acetyl_chloride,14,333660
acetyl_group,11,333661
acetyl_radical,13,333662
acetylation,11,74592
acetylcholine,13,37025
acetylene,9,55262
acetylsalicylic_acid,19,333663
achaea,6,255438
achaean,7,204419
achaian,7,333664
ache,4,25311
achene,6,333665
acheron,7,94769
acherontia,10,333666
acherontia_atropos,17,333667
acheson,7,76616
acheson_process,14,333668
acheta,6,333669
acheta_assimilis,15,333670
acheta_domestica,15,333671
achievability,13,292040
achievement,11,5127
achiever,8,52760
achille_ratti,12,333672
achillea,8,108655
achillea_millefolium,19,333673
achillea_ptarmica,16,333674
achilles,8,24081
achilles'_heel,13,333675
achilles_tendon,14,333676
achimenes,9,333677
aching,6,31723
achira,6,333678
achlorhydria,12,333679
achmad_sukarno,13,333680
achoerodus,10,333681
achoerodus_gouldii,17,333682
acholia,7,333683
achomawi,8,333684
achondrite,10,333685
achondroplasia,14,163988
achondroplasty,14,333686
achras,6,333687
achras_zapota,12,333688
achromasia,10,333689
achromatic_color,15,333690
achromatic_colour,16,333691
achromatic_lens,14,333692
achromatic_vision,16,333693
achromaticity,13,333694
achromatin,10,333695
achromatism,11,333696
achromia,8,333697
achromycin,10,270889
achylia,7,333698
achylia_gastrica,15,333699
acicula,7,333700
acid,4,2570
acid-base_balance,16,333701
acid-base_equilibrium,20,333702
acid-base_indicator,18,333703
acid_anhydrides,14,333704
acid_dye,7,333705
acid_halide,10,333706
acid_head,8,333707
acid_hydrogen,12,333708
acid_precipitation,17,333709
acid_rain,8,333710
acid_rock,8,333711
acid_test,8,333712
acid_value,9,333713
acidemia,8,218865
acidic_hydrogen,14,333714
acidification,13,63632
acidimetry,10,333715
acidity,7,30799
acidophil,9,333716
acidophile,10,333717
acidophilus,11,49351
acidophilus_milk,15,333718
acidosis,8,52277
acidulousness,13,333719
acinonyx,8,333720
acinonyx_jubatus,15,333721
acinos,6,333722
acinos_arvensis,14,333723
acinus,6,333724
acipenser,9,152176
acipenser_huso,13,333725
acipenser_transmontanus,22,333726
acipenseridae,13,333727
ack-ack,7,333728
ack-ack_gun,10,333729
ackee,5,333730
acknowledgement,15,14305
acknowledgment,14,20457
aclant,6,333731
aclinic_line,11,333732
acme,4,17225
acne,4,8712
acne_rosacea,11,333733
acne_vulgaris,12,333734
acnidosporidia,14,333735
acocanthera,11,333736
acocanthera_oblongifolia,23,333737
acocanthera_oppositifolia,24,333738
acocanthera_spectabilis,22,333739
acocanthera_venenata,19,333740
acokanthera,11,333741
acolyte,7,79531
aconcagua,9,101101
aconite,7,137754
aconitum,8,146141
aconitum_lycoctonum,18,333742
aconitum_napellus,16,333743
acoraceae,9,333744
acorea,6,333745
acores,6,273527
acorn,5,18533
acorn_barnacle,13,333746
acorn_cup,8,333747
acorn_squash,11,333748
acorn_tube,9,333749
acorus,6,229391
acorus_calamus,13,333750
acousma,7,333751
acoustic,8,5796
acoustic_aphasia,15,333752
acoustic_buoy,12,333753
acoustic_delay_line,17,333754
acoustic_device,14,333755
acoustic_gramophone,18,333756
acoustic_guitar,14,333757
acoustic_impedance,17,333758
acoustic_meatus,14,333759
acoustic_modem,13,333760
acoustic_nerve,13,333761
acoustic_phenomenon,18,333762
acoustic_power,13,333763
acoustic_projection,18,333764
acoustic_radiation_pressure,25,333765
acoustic_reactance,17,333766
acoustic_resistance,18,333767
acoustic_spectrum,16,333768
acoustic_storage,15,333769
acoustic_wave,12,333770
acoustician,11,333771
acousticophobia,15,333772
acoustics,9,15309
acquaintance,12,22164
acquaintanceship,16,290097
acquiescence,12,64068
acquired_hemochromatosis,23,333773
acquired_immune_deficiency_syndrome,32,333774
acquired_immunity,16,333775
acquired_reflex,14,333776
acquired_taste,13,333777
acquirement,11,210884
acquirer,8,60428
acquiring,9,13135
acquisition,11,3794
acquisition_agreement,20,333778
acquisitiveness,15,316924
acquittal,9,52432
acquittance,11,333779
acragas,7,333780
acrasiomycetes,14,333781
acre,4,8295
acre-foot,9,333782
acre_inch,8,333783
acreage,7,16877
acres,5,4754
acridid,7,333784
acrididae,9,287692
acridity,8,333785
acridness,9,333786
acridotheres,12,333787
acridotheres_tristis,19,333788
acrilan,7,333789
acrimony,8,114709
acris,5,173970
acris_crepitans,14,333790
acris_gryllus,12,333791
acroanaesthesia,15,333792
acroanesthesia,14,333793
acrobat,7,4752
acrobates,9,333794
acrobatic_feat,13,333795
acrobatic_stunt,14,333796
acrobatics,10,66592
acrocarp,8,333797
acrocarpous_moss,15,333798
acrocarpus,10,333799
acrocarpus_fraxinifolius,23,333800
acrocentric_chromosome,21,333801
acrocephalus,12,158306
acrocephalus_schoenobaenus,25,333802
acrocephaly,11,333803
acroclinium,11,333804
acroclinium_roseum,17,333805
acrocomia,9,333806
acrocomia_aculeata,17,333807
acrocomia_vinifera,17,333808
acrocyanosis,12,333809
acrodont,8,333810
acrogen,7,333811
acrolein,8,123931
acromegalia,11,333812
acromegaly,10,109474
acromial_process,15,333813
acromicria,10,333814
acromikria,10,333815
acromion,8,269761
acromphalus,11,333816
acromyotonia,12,333817
acronym,7,16928
acrophobia,10,237421
acrophony,9,333818
acropolis,9,43065
acropora,8,137689
acrosome,8,164166
acrostic,8,106808
acrostichum,11,333819
acrostichum_aureum,17,333820
acrylamide,10,60559
acrylate,8,68964
acrylate_resin,13,333821
acrylic,7,8694
acrylic_acid,11,333822
acrylic_fiber,12,333823
acrylic_paint,12,333824
acrylic_resin,12,333825
acrylonitrile,13,79688
acrylonitrile-butadiene-styrene,31,333826
act,3,552
act_of_god,8,333827
act_of_terrorism,14,333828
actaea,6,266311
actaea_alba,10,333829
actaea_rubra,11,333830
acth,4,58229
actias,6,333831
actias_luna,10,333832
actifed,7,246820
actin,5,21989
actinaria,9,333833
acting,6,3916
acting_out,9,333834
actinia,7,333835
actinian,8,333836
actiniaria,10,333837
actiniarian,11,333838
actinic_dermatitis,17,333839
actinic_keratosis,16,333840
actinic_radiation,16,333841
actinic_ray,10,333842
actinide,8,114133
actinide_series,14,333843
actinidia,9,241318
actinidia_arguta,15,333844
actinidia_chinensis,18,333845
actinidia_deliciosa,18,333846
actinidia_polygama,17,333847
actinidiaceae,13,333848
actiniopteris,13,333849
actinism,8,333850
actinium,8,194188
actinoid,8,333851
actinolite,10,209573
actinomeris,11,333852
actinomeris_alternifolia,23,333853
actinometer,11,333854
actinometry,11,333855
actinomyces,11,180448
actinomycetaceae,16,333856
actinomycetales,15,235378
actinomycete,12,327558
actinomycin,11,139435
actinomycosis,13,193522
actinomyxidia,13,333857
actinomyxidian,14,333858
actinon,7,333859
actinopod,9,333860
actinopoda,10,333861
actinotherapy,13,333862
actinozoa,9,333863
actinozoan,10,333864
action,6,473
action_at_law,11,333865
action_mechanism,15,333866
action_officer,13,333867
action_painting,14,333868
action_plant,11,333869
action_potential,15,333870
action_replay,12,333871
action_spectrum,14,333872
actitis,7,302265
actitis_hypoleucos,17,333873
actitis_macularia,16,333874
actium,6,146566
activase,8,255177
activated_carbon,15,333875
activated_charcoal,17,333876
activating,10,21346
activating_agent,15,333877
activation,10,5930
activation_energy,16,333878
activator,9,24381
active,6,954
active_agent,11,333879
active_air_defense,16,333880
active_application,17,333881
active_birth,11,333882
active_citizen,13,333883
active_immunity,14,333884
active_matrix_screen,18,333885
active_placebo,13,333886
active_site,10,333887
active_transport,15,333888
active_trust,11,333889
active_voice,11,333890
activeness,10,302867
activewear,10,34203
activism,8,11502
activist,8,11541
activity,8,1015
actomyosin,10,235607
actor,5,4288
actor's_agent,12,333891
actor's_assistant,16,333892
actor's_line,11,333893
actress,7,8008
acts,4,3239
acts_of_the_apostles,17,333894
actual_damages,13,333895
actual_eviction,14,333896
actual_possession,16,333897
actual_sin,9,333898
actualisation,13,226136
actuality,9,40152
actualization,13,75084
actuarial_table,14,333899
actuary,7,36096
actuation,9,53875
actuator,8,24913
actus_reus,9,333900
acuity,6,31607
acular,6,242594
aculea,6,333901
aculeus,7,333902
acumen,6,37893
acuminate_leaf,13,333903
acupressure,11,46369
acupuncture,11,14303
acute,5,5690
acute-angled_triangle,20,333904
acute_accent,11,333905
acute_angle,10,333906
acute_anterior_poliomyelitis,26,333907
acute_brain_disorder,18,333908
acute_gastritis,14,333909
acute_glaucoma,13,333910
acute_glossitis,14,333911
acute_hemorrhagic_encephalitis,28,333912
acute_inclusion_body_encephalitis,30,333913
acute_kidney_failure,18,333914
acute_leukemia,13,333915
acute_lymphoblastic_leukemia,26,333916
acute_lymphocytic_leukemia,24,333917
acute_myelocytic_leukemia,23,333918
acute_myeloid_leukemia,20,333919
acute_organic_brain_syndrome,25,333920
acute_pyelonephritis,19,333921
acute_renal_failure,17,333922
acute_schizophrenic_episode,25,333923
acute_triangle,13,333924
acuteness,9,177701
acyclovir,9,25248
acyl,4,37176
acyl_anhydrides,14,333925
acyl_group,9,333926
acyl_halide,10,333927
acylation,9,150630
acylglycerol,12,333928
ad-lib,6,333929
ad_agency,8,333930
ad_blitz,7,333931
ad_campaign,10,333932
ad_valorem_tax,12,333933
ada,3,8040
ada-scid,8,333934
adactylia,9,333935
adactylism,10,333936
adactyly,8,333937
adad,4,194094
adage,5,43682
adagio,6,32867
adalia,6,278902
adalia_bipunctata,16,333938
adam,4,3477
adam's_apple,11,333939
adam's_needle,12,333940
adam's_needle-and-thread,23,333941
adam's_peak,10,333942
adam-and-eve,12,333943
adam_smith,9,333944
adamance,8,333945
adamant,7,39287
adams,5,4047
adams-stokes_syndrome,20,333946
adana,5,77898
adansonia,9,296249
adansonia_digitata,17,333947
adansonia_gregorii,17,333948
adapa,5,333949
adapid,6,333950
adapid_group,11,333951
adapin,6,333952
adaptability,12,35341
adaptation,10,9670
adapter,7,3405
adaption,8,69525
adaptive_radiation,17,333953
adaptor,7,8882
adar,4,74799
adar_sheni,9,333954
add,3,141
add-in,6,333955
add-on,6,333956
addax,5,290637
addax_nasomaculatus,18,333957
addend,6,187241
addendum,8,19207
adder,5,28130
adder's_fern,11,333958
adder's_tongue,13,333959
adder's_tongue_fern,17,333960
addict,6,14072
addiction,9,6511
adding_machine,13,333961
addis_ababa,10,333962
addison's_disease,16,333963
addison's_syndrome,17,333964
addition,8,1096
addition_reaction,16,333965
additions_to_esther,17,333966
additive,8,17128
additive_inverse,15,333967
addle-head,10,333968
addlehead,9,333969
address,7,249
addressee,9,38907
addressing_machine,17,333970
addressograph,13,333971
adducer,7,333972
adducing,8,284840
adduct,6,86004
adduction,9,148392
adductor,8,135943
adductor_muscle,14,333973
ade,3,28581
adelaide,8,7873
adelges,7,333974
adelges_abietis,14,333975
adelges_piceae,13,333976
adelgid,7,213687
adelgidae,9,333977
adelie,6,129912
adelie_coast,11,333978
adelie_land,10,333979
adelie_penguin,13,333980
adeline_virginia_stephen_woolf,27,333981
aden,4,43677
aden-abyan_islamic_army,21,333982
adenanthera,11,333983
adenanthera_pavonina,19,333984
adenauer,8,93129
adenine,7,46222
adenitis,8,333985
adenium,7,309173
adenium_multiflorum,18,333986
adenium_obesum,13,333987
adenocarcinoma,14,32505
adenohypophysis,15,333988
adenoid,7,148104
adenoidectomy,13,212954
adenoma,7,49413
adenomatous_polyp,16,333989
adenomegaly,11,333990
adenomyosarcoma,15,333991
adenomyosis,11,188811
adenopathy,10,240743
adenosine,9,26014
adenosine_deaminase,18,333992
adenosine_diphosphate,20,333993
adenosine_monophosphate,22,333994
adenosine_triphosphate,21,333995
adenosis,8,333996
adenota,7,333997
adenota_vardoni,14,333998
adenovirus,10,42560
adenylic_acid,12,333999
adept,5,20064
adeptness,9,334000
adequacy,8,17656
adequateness,12,334001
ader_wax,7,334002
adermin,7,334003
adesite,7,334004
adh,3,56717
adhd,4,14170
adherence,9,18143
adherent,8,56518
adhesion,8,17967
adhesion_contract,16,334005
adhesive,8,10643
adhesive_agent,13,334006
adhesive_bandage,15,334007
adhesive_friction,16,334008
adhesive_material,16,334009
adhesive_plaster,15,334010
adhesive_tape,12,334011
adhesiveness,12,174808
adhocracy,9,334012
adi_granth,9,334013
adiabatic_process,16,334014
adiantaceae,11,334015
adiantum,8,207251
adiantum_bellum,14,334016
adiantum_capillus-veneris,24,334017
adiantum_pedatum,15,334018
adiantum_tenerum,15,334019
adiantum_tenerum_farleyense,25,334020
adience,7,334021
adieu,5,55932
adige,5,63096
adios,5,48683
adipic_acid,10,334022
adipose_cell,11,334023
adipose_tissue,13,334024
adipose_tumor,12,334025
adiposeness,11,334026
adiposis,8,334027
adiposity,9,153387
adirondack_mountains,19,334028
adirondacks,11,57731
adit,4,113875
aditi,5,100434
aditya,6,59665
adjacency,9,48332
adjective,9,23913
adjoining_room,13,334029
adjournment,11,21913
adjudication,12,24545
adjudicator,11,51738
adjunct,7,17036
adjunction,10,155464
adjuration,10,334030
adjustable_spanner,17,334031
adjustable_wrench,16,334032
adjuster,8,32151
adjusting_entry,14,334033
adjustment,10,5293
adjustor,8,192808
adjutant,8,48448
adjutant_bird,12,334034
adjutant_general,15,334035
adjutant_stork,13,334036
adjuvant,8,32628
adlai_ewing_stevenson,19,334037
adlai_stevenson,14,334038
adlumia,7,334039
adlumia_fungosa,14,334040
adman,5,199921
admass,6,334041
administration,14,1041
administrative_body,18,334042
administrative_data_processing,28,334043
administrative_district,22,334044
administrative_division,22,334045
administrative_hearing,21,334046
administrative_law,17,334047
administrative_official,22,334048
administrative_unit,18,334049
administrator,13,2697
administrivia,13,48406
admirability,12,334050
admirableness,13,334051
admiral,7,14120
admiral_byrd,11,334052
admiral_dewey,12,334053
admiral_nelson,13,334054
admiral_nimitz,13,334055
admiralty,9,25055
admiralty_brass,14,334056
admiralty_island,15,334057
admiralty_islands,16,334058
admiralty_law,12,334059
admiralty_metal,14,334060
admiralty_mile,13,334061
admiralty_range,14,334062
admiration,10,23032
admirer,7,46836
admissibility,13,41623
admission,9,4272
admission_charge,15,334063
admission_day,12,334064
admission_fee,12,334065
admission_price,14,334066
admittance,10,45038
admixture,9,42226
admonisher,10,334067
admonishment,12,154862
admonition,10,55997
adnexa,6,265080
adnoun,6,334068
ado,3,20188
adobe,5,2855
adobe_brick,10,334069
adobe_house,10,334070
adobe_lily,9,334071
adobo,5,118608
adolescence,11,20393
adolescent,10,9386
adolf_eichmann,13,334072
adolf_hitler,11,334073
adolf_loos,9,334074
adolf_windaus,12,334075
adolph_simon_ochs,15,334076
adolphe_sax,10,334077
adonic,6,334078
adonic_line,10,334079
adonis,6,42420
adonis_annua,11,334080
adoptee,7,46717
adopter,7,52883
adoption,8,4001
adoptive_parent,14,334081
adorability,11,334082
adorableness,12,334083
adoration,9,37766
adorer,6,334084
adornment,9,69926
adoxography,11,334085
adp,3,18488
adp_system,9,334086
adps,4,236875
adrenal,7,22452
adrenal_cortex,13,334087
adrenal_cortical_steroid,22,334088
adrenal_gland,12,334089
adrenal_medulla,14,334090
adrenalectomy,13,137985
adrenalin,9,41389
adrenaline,10,19288
adrenarche,10,334091
adrenergic,10,31876
adrenergic_agonist_eyedrop,24,334092
adrenergic_drug,14,334093
adrenocorticotrophic_hormone,27,334094
adrenocorticotrophin,20,334095
adrenocorticotropic_hormone,26,334096
adrenocorticotropin,19,320967
adrenosterone,13,334097
adrian,6,9267
adrianople,10,228964
adrianopolis,12,334098
adriatic,8,38775
adriatic_sea,11,334099
adroitness,10,291246
adsorbate,9,168315
adsorbent,9,102398
adsorbent_material,17,334100
adsorption,10,27409
adsuki_bean,10,334101
adulation,9,71955
adulator,8,334102
adult,5,821
adult-onset_diabetes,19,334103
adult-onset_diabetes_mellitus,27,334104
adult_body,9,334105
adult_education,14,334106
adult_female,11,334107
adult_female_body,15,334108
adult_intelligence,17,334109
adult_male,9,334110
adult_male_body,13,334111
adult_respiratory_distress_syndrome,32,334112
adult_tooth,10,334113
adulterant,10,334114
adulteration,12,94023
adulterator,11,334115
adulterer,9,146917
adulteress,10,158035
adultery,8,26675
adulthood,9,23791
adumbration,11,334116
advance,7,1837
advance_death_benefit,19,334117
advanced_research_and_development_activity,38,334118
advancement,11,9793
advancer,8,269612
advantage,9,2419
advantageousness,16,334119
advection,9,51715
advent,6,11553
advent_sunday,12,334120
adventism,9,174613
adventist,9,28051
adventitia,10,301922
adventitious_root,16,334121
adventure,9,2310
adventure_story,14,334122
adventurer,10,32524
adventuress,11,140318
adventurism,11,196885
adventurousness,15,334123
adverb,6,55669
adverbial,9,103979
adversary,9,24833
adversative_conjunction,22,334124
adverse_opinion,14,334125
adverse_witness,14,334126
adversity,9,30603
advert,6,9541
advertence,10,334127
advertency,10,334128
advertisement,13,2322
advertiser,10,6637
advertising,11,890
advertising_agency,17,334129
advertising_campaign,19,334130
advertising_department,21,334131
advertising_division,19,334132
