Username,TypeOfGame,Result,Date,Accuracy%
Yair2179,Game1,Lose,2023-12-24 14:40:54,0
Avi,Game1,Lose,2024-02-26 19:38:31,60
Tova9899,Game2,Lose,2024-01-06 03:38:31,75
Nurit3356,Game1,Lose,2023-12-05 20:34:31,75
Yifat8738,Game1,Lose,2024-01-18 00:13:52,55
Lilach2205,Game1,Lose,2024-03-02 09:13:21,65
Yuval3122,Game2,Lose,2023-12-13 12:52:52,10
Vardit,Game1,Lose,2024-01-24 08:48:26,55
Uri2236,Game1,Win,2023-12-29 04:52:00,35
Hadar,Game1,Lose,2024-02-20 07:36:09,80
Nechama7436,Game2,Lose,2023-12-04 12:01:14,5
Ziva,Game1,Lose,2024-02-10 18:37:10,85
Amram2249,Game2,Lose,2024-01-14 08:38:08,35
Matan,Game1,Win,2024-01-21 23:02:00,85
Yishai3414,Game1,Win,2024-02-13 20:15:38,95
Tom6857,Game1,Win,2024-02-27 11:48:51,95
Asaf6441,Game2,Win,2024-02-07 19:19:58,5
Shlomo8784,Game2,Win,2023-12-21 21:18:15,45
Shira7205,Game2,Win,2024-02-18 04:35:19,80
Nir,Game1,Lose,2024-01-01 20:48:13,85
Leah6624,Game2,Lose,2023-12-12 17:56:53,40
Iris7323,Game2,Lose,2023-12-10 11:43:38,85
Avi,Game2,Lose,2024-02-15 00:48:59,70
Oz,Game1,Win,2024-02-23 23:45:13,0
Yanai2080,Game2,Lose,2024-02-15 17:44:49,45
Amir2598,Game2,Lose,2024-02-15 08:16:43,0
Shlomo,Game1,Lose,2023-12-16 02:30:41,0
Yoni1579,Game1,Win,2024-01-19 15:38:37,95
Gal6037,Game1,Lose,2023-12-07 11:07:56,55
Yuval,Game1,Lose,2023-12-11 19:33:59,95
Ronen5895,Game1,Lose,2024-02-08 21:56:32,15
Nurit4103,Game1,Win,2024-02-26 09:56:08,55
Yoni3390,Game2,Lose,2023-12-27 20:11:46,35
Yiftach7472,Game1,Win,2024-01-08 17:47:29,55
Moran,Game1,Lose,2024-02-23 00:44:03,0
Shoham8629,Game1,Win,2024-01-09 10:50:56,80
Orit5861,Game2,Win,2024-02-18 21:58:27,20
Yanai948,Game1,Win,2023-12-20 01:05:32,25
Amira4246,Game1,Win,2023-12-24 14:30:11,40
Roi,Game1,Win,2023-12-01 10:58:35,10
Yoel2644,Game2,Win,2024-02-25 17:11:22,65
Lilach3834,Game1,Lose,2024-01-18 18:46:37,60
Omer,Game1,Win,2023-12-06 12:04:03,85
Yocheved3774,Game2,Win,2023-12-24 13:52:03,60
Gadi2968,Game1,Win,2023-12-30 08:02:04,95
Bracha8694,Game2,Win,2024-02-16 17:20:29,75
Zeev,Game1,Win,2023-12-07 19:50:32,95
Zohar,Game2,Lose,2024-02-20 18:55:29,70
Orly,Game2,Lose,2023-12-10 06:27:00,75
Ruth,Game1,Win,2023-12-01 05:08:30,15
Gideon1084,Game2,Lose,2024-01-12 08:49:12,45
Shani,Game2,Lose,2024-01-20 21:57:53,5
Yuval,Game2,Lose,2024-01-30 22:29:33,10
Natan8583,Game1,Win,2024-01-02 16:42:21,10
Rina,Game1,Lose,2024-01-06 01:15:52,60
Nurit3356,Game1,Lose,2023-12-26 06:54:46,65
Revital9592,Game2,Win,2024-01-03 02:48:32,95
Amira,Game1,Lose,2023-12-14 05:48:09,65
Maya6459,Game2,Lose,2024-02-28 04:28:48,15
Lilach207,Game1,Win,2024-02-02 02:05:48,85
Dudu5007,Game1,Lose,2023-12-24 18:01:58,15
Vardit753,Game1,Lose,2023-12-30 04:15:09,45
Lilach6642,Game2,Lose,2024-01-28 04:38:58,35
Vardit7486,Game2,Win,2023-12-25 10:46:49,40
Amram4898,Game2,Win,2024-02-01 19:34:31,45
Alon502,Game2,Lose,2024-02-07 16:26:32,100
Yulia,Game1,Win,2023-12-05 22:11:48,50
Ilanit657,Game2,Lose,2023-12-04 03:41:07,5
Mira,Game2,Lose,2024-01-07 08:43:43,20
Shir7447,Game1,Win,2024-02-16 06:40:35,70
Yakov,Game2,Win,2024-02-29 11:52:40,85
Asaf,Game2,Win,2023-12-05 03:05:44,75
Yoav1646,Game2,Win,2023-12-09 01:31:50,15
Yishai2080,Game2,Lose,2023-12-12 06:23:23,30
Yoav1646,Game1,Lose,2024-03-03 01:25:40,20
Yakov,Game2,Lose,2023-12-21 16:59:37,0
Yehudit3439,Game2,Win,2024-01-09 22:15:37,70
Yael2580,Game2,Win,2023-12-14 16:32:01,75
Shirley,Game1,Lose,2024-01-09 15:31:53,35
Yaelle2836,Game1,Lose,2024-02-24 21:23:06,0
Shani6864,Game1,Win,2024-02-02 22:52:30,80
Ayelet6650,Game2,Lose,2023-12-25 00:03:01,50
Yuval,Game2,Lose,2023-12-07 08:41:09,70
Matan6372,Game1,Lose,2024-01-07 18:34:39,90
Avraham9344,Game2,Lose,2023-12-12 02:44:15,50
Yair2179,Game1,Lose,2023-12-12 16:24:19,95
Tom,Game1,Win,2023-12-08 18:05:03,45
Iris,Game2,Lose,2024-01-08 00:18:46,20
Sapir,Game1,Lose,2024-02-15 01:56:16,0
Erez,Game2,Win,2024-01-24 01:50:12,35
Sivan,Game2,Win,2024-01-17 21:54:31,75
Shirley9825,Game2,Lose,2024-01-31 23:28:04,15
Vardit753,Game1,Lose,2023-12-03 13:20:32,65
Yulia,Game1,Lose,2024-02-18 11:57:36,100
Yitzhak4371,Game2,Win,2024-02-05 22:58:46,25
Irit9043,Game2,Lose,2023-12-17 01:15:51,90
Idan,Game1,Lose,2023-12-22 02:42:12,50
Shulamit6853,Game1,Lose,2024-02-09 08:10:22,0
Ayelet6650,Game2,Win,2024-02-13 07:09:50,60
Shay,Game2,Lose,2023-12-07 11:44:31,100
Yaelle,Game1,Lose,2024-01-09 19:30:16,10
Nirit,Game1,Lose,2023-12-15 15:27:00,65
Sharon3110,Game1,Win,2024-01-01 16:35:17,75
Sharon,Game1,Lose,2024-01-18 03:48:02,0
Idan,Game1,Lose,2024-02-18 00:27:56,40
Yocheved8581,Game2,Lose,2024-02-10 17:30:03,25
Lilach6642,Game1,Lose,2024-01-18 11:42:45,90
Alon502,Game2,Win,2023-12-20 08:53:02,60
Yocheved3774,Game1,Lose,2024-02-11 20:25:01,40
Ronen,Game2,Win,2024-02-02 15:52:19,65
Dror8570,Game1,Lose,2023-12-25 05:18:31,45
Yariv8887,Game1,Lose,2024-02-22 21:14:13,65
Sigal5046,Game1,Lose,2024-01-14 19:32:27,25
Yaelle7712,Game2,Lose,2024-01-15 15:34:03,50
Shira9097,Game2,Lose,2023-12-11 06:30:17,0
Leah6624,Game1,Win,2023-12-19 11:04:14,20
Aviad,Game1,Win,2024-02-26 07:35:48,75
Gadi9935,Game2,Lose,2024-01-25 20:15:39,55
Oren1210,Game1,Lose,2024-01-19 15:23:30,35
Yoni9963,Game1,Lose,2023-12-08 15:53:11,65
Yoel2644,Game1,Lose,2024-01-08 20:53:52,55
Osnat,Game1,Win,2023-12-13 22:17:44,75
Avi386,Game2,Win,2024-01-24 01:44:24,55
Gideon8995,Game1,Lose,2023-12-31 02:40:14,90
Ruth,Game2,Win,2024-02-20 15:42:17,30
Lilach4779,Game2,Lose,2024-02-06 05:11:49,100
Shmuel3838,Game2,Win,2023-12-20 08:07:08,45
Shir,Game2,Win,2024-01-31 18:17:56,20
Sigalit,Game1,Lose,2024-02-06 13:51:27,10
Dudu5007,Game2,Lose,2024-01-08 23:39:03,20
Orit,Game1,Lose,2024-02-13 23:33:19,65
Idan,Game1,Lose,2024-02-05 07:53:23,65
Shani,Game1,Win,2024-01-21 00:12:30,85
Yigal1010,Game2,Win,2024-02-05 21:26:30,75
Chaya,Game1,Lose,2024-03-03 09:54:49,0
Hadar5386,Game1,Win,2024-01-25 13:02:14,55
Yiska8496,Game1,Win,2024-02-06 01:12:19,5
Yulia,Game2,Win,2024-02-12 21:12:29,5
Aviad8406,Game1,Win,2024-02-28 08:09:08,35
Sarit,Game2,Win,2024-02-26 12:56:29,45
Amit,Game1,Win,2023-12-04 16:30:35,55
Alon6049,Game2,Win,2024-01-16 05:40:47,50
Shay,Game1,Win,2023-12-15 09:06:49,5
Dror,Game2,Lose,2023-12-21 17:52:57,10
Yaelle,Game1,Win,2024-01-08 01:32:40,80
Yossi,Game1,Lose,2024-01-21 16:47:35,25
Dafna,Game1,Lose,2023-12-19 20:36:48,100
Yoel,Game2,Lose,2023-12-08 15:29:52,70
Shmuel592,Game1,Win,2023-12-13 15:43:34,75
Yifat8674,Game2,Lose,2024-02-10 01:26:03,15
Nir8054,Game1,Win,2023-12-07 19:25:32,70
Yoni1579,Game1,Win,2024-03-03 22:14:10,55
Zvi9659,Game1,Lose,2023-12-29 05:22:34,75
Rina7770,Game1,Lose,2023-12-19 07:20:44,25
Yishai,Game2,Lose,2023-12-28 06:22:28,40
Noa4796,Game2,Win,2023-12-28 02:30:33,25
Yehonatan4086,Game1,Lose,2024-01-21 04:20:30,25
Chen,Game2,Lose,2024-02-04 06:56:51,95
Amit,Game1,Lose,2024-01-08 12:52:56,60
Vardit1087,Game2,Lose,2024-01-09 02:18:24,55
Avi3546,Game2,Win,2024-03-03 07:28:09,40
Noa4796,Game1,Win,2024-01-18 22:14:15,40
Sarit,Game2,Win,2023-12-30 14:42:17,65
Noam6461,Game2,Lose,2024-01-10 11:01:51,25
Dudi8720,Game1,Lose,2024-01-17 15:31:05,45
Amira4246,Game1,Win,2023-12-27 10:29:41,50
Tal,Game2,Lose,2024-02-28 22:02:06,55
Yaelle7712,Game2,Win,2024-01-30 21:31:23,5
Tom8205,Game2,Lose,2024-02-17 12:28:26,20
Yocheved3774,Game2,Lose,2024-02-17 07:46:05,75
Yoel2644,Game2,Win,2024-01-24 04:04:24,70
Shlomit,Game2,Lose,2024-02-14 04:44:04,10
Yehudit7031,Game2,Win,2024-01-17 18:44:39,35
Tzipi1883,Game2,Win,2023-12-11 03:22:19,70
Shani,Game1,Lose,2024-02-21 03:45:49,10
Yaelle2993,Game1,Win,2024-01-31 15:12:47,40
Omer,Game2,Win,2023-12-20 00:38:26,100
Adva3086,Game1,Win,2024-02-11 06:21:21,40
Shlomo,Game1,Win,2024-01-15 07:39:56,20
Orly3565,Game2,Win,2023-12-21 14:35:51,90
Gal,Game2,Lose,2024-01-16 19:53:40,50
Omer8052,Game1,Lose,2024-02-29 13:14:40,70
Ilanit657,Game2,Lose,2024-01-03 16:36:29,25
Einav,Game1,Win,2023-12-27 14:58:38,85
Guy,Game2,Win,2024-03-01 16:28:33,30
Yoni,Game2,Lose,2024-01-09 11:47:18,90
Omer,Game2,Lose,2024-01-11 02:18:41,25
Ofira,Game1,Lose,2024-01-26 09:51:19,45
Bracha8694,Game2,Lose,2024-01-19 20:17:25,30
Orit,Game1,Win,2024-01-14 13:01:32,55
Shmuel7323,Game1,Win,2024-02-05 03:01:29,75
Matan9128,Game1,Lose,2024-02-12 09:13:09,100
Vardit1087,Game1,Win,2024-01-22 03:31:09,0
Arik5308,Game2,Lose,2023-12-19 14:09:11,15
Shani,Game2,Win,2023-12-15 09:03:22,100
Dafna,Game2,Win,2023-12-21 19:45:17,70
Dror,Game1,Lose,2024-01-28 17:44:51,85
Vardit7907,Game2,Lose,2024-01-30 01:02:05,100
Yulia78,Game1,Win,2024-01-13 19:08:45,25
Dudu5007,Game1,Lose,2023-12-01 21:35:18,55
Tomer4165,Game1,Lose,2024-02-11 03:08:11,65
Vered3101,Game2,Win,2023-12-30 15:34:12,75
Amir2598,Game2,Lose,2024-02-01 11:29:40,60
Eran,Game2,Win,2024-02-16 06:02:57,10
Shalom7289,Game2,Lose,2024-01-10 12:00:39,50
Natan4529,Game1,Lose,2024-02-22 23:01:42,25
Nurit,Game2,Lose,2024-02-10 10:06:38,5
Shani3433,Game2,Win,2024-02-01 14:02:27,40
Yonatan3609,Game1,Win,2023-12-29 08:45:48,60
Nimrod6178,Game1,Lose,2023-12-22 17:23:35,0
Nir8054,Game2,Win,2024-02-06 07:19:17,85
Shani6864,Game1,Win,2024-02-01 08:07:29,10
Oren1210,Game2,Lose,2024-02-04 00:04:55,0
Aviad689,Game1,Win,2024-02-20 09:27:55,40
Omer,Game1,Lose,2023-12-16 08:05:56,10
Eitan7600,Game2,Lose,2023-12-26 20:07:40,40
Amira,Game2,Win,2024-02-02 03:21:54,75
Tali5497,Game1,Win,2024-02-05 12:06:10,45
Leah9650,Game1,Win,2024-01-31 15:45:51,35
Shalom,Game1,Lose,2024-02-11 17:52:26,60
Esti2806,Game2,Lose,2024-02-02 08:48:13,50
Yonina4263,Game2,Win,2024-02-13 03:08:04,95
Iris5663,Game2,Lose,2023-12-13 00:41:56,65
Limor921,Game2,Win,2023-12-15 01:53:29,15
Leah5996,Game2,Lose,2024-02-28 05:54:16,100
Irit,Game2,Win,2024-01-20 14:01:41,75
Yifat8674,Game2,Lose,2024-01-16 23:37:53,10
Rafael,Game2,Win,2023-12-06 15:23:45,65
Shmuel3838,Game1,Lose,2023-12-13 15:09:31,35
Nechama7436,Game2,Lose,2024-02-14 21:15:45,40
Nili,Game1,Lose,2024-02-04 02:35:03,5
Yael2580,Game1,Lose,2024-02-03 17:48:15,25
Yuval7148,Game2,Win,2024-02-11 17:57:30,85
Yehuda,Game1,Win,2024-01-11 02:19:04,60
Yuval871,Game1,Lose,2023-12-05 04:14:12,25
Yishai3414,Game1,Lose,2023-12-13 01:50:08,65
Yehonatan4086,Game1,Lose,2023-12-17 21:46:34,30
Sigalit9222,Game1,Win,2023-12-26 09:47:52,75
Gadi9935,Game1,Lose,2023-12-29 04:48:43,85
Dror2197,Game2,Win,2024-01-07 14:40:24,40
Nir8054,Game2,Lose,2024-02-07 17:57:32,100
Shaked,Game1,Lose,2024-02-04 13:37:06,45
Bracha8694,Game1,Lose,2024-03-03 16:29:53,30
Ayelet,Game1,Win,2024-02-05 17:02:43,35
Shlomo8784,Game1,Lose,2024-01-19 06:04:49,75
Hadar5460,Game1,Lose,2024-02-04 12:07:39,70
Eitan4767,Game2,Win,2023-12-05 14:44:27,20
Tuvia,Game2,Lose,2023-12-11 22:58:08,95
Keren7544,Game2,Lose,2023-12-05 04:36:35,65
Idan1282,Game1,Win,2024-03-02 12:57:21,100
Kfir456,Game1,Win,2023-12-21 21:41:00,100
Nir5487,Game1,Win,2024-02-28 07:28:54,30
Ronen,Game2,Lose,2024-01-19 21:35:43,20
Moti7600,Game2,Lose,2023-12-13 15:33:02,25
Mira8697,Game1,Win,2024-01-10 18:59:18,25
Kfir2688,Game1,Win,2023-12-01 09:07:30,100
Sharon,Game1,Win,2024-01-03 08:14:25,40
Kfir456,Game1,Win,2024-01-16 06:00:57,25
Ilanit8016,Game1,Lose,2023-12-30 07:26:53,35
Yehonatan,Game2,Win,2023-12-14 15:05:01,5
Avraham9932,Game2,Win,2024-01-31 22:55:16,25
Yehonatan,Game2,Win,2024-02-01 18:05:34,0
Ayelet2331,Game1,Lose,2023-12-21 16:10:47,95
Gadi9935,Game1,Win,2023-12-14 09:25:00,90
Yehuda,Game1,Win,2024-01-17 00:55:21,30
Vardit7486,Game1,Lose,2024-01-23 05:45:49,90
Dror2197,Game1,Win,2023-12-27 21:05:38,30
Shlomo5091,Game1,Win,2024-02-21 16:18:56,45
Avi,Game1,Lose,2024-02-07 14:58:52,60
Yiska4315,Game1,Win,2024-02-15 01:03:47,0
Vardit753,Game1,Lose,2024-02-04 22:40:57,25
Gal7573,Game2,Win,2024-01-07 15:14:56,0
Yechiel,Game2,Lose,2023-12-16 23:14:30,70
Yehudit848,Game1,Lose,2024-02-16 23:04:20,90
Shira2672,Game2,Win,2024-01-29 12:51:47,90
Amira5100,Game1,Win,2023-12-03 19:32:04,10
Nirit,Game2,Win,2024-01-23 15:15:12,45
Zohar,Game2,Win,2023-12-21 01:21:29,45
Eli9910,Game1,Lose,2024-02-15 13:07:24,65
Vardit1087,Game1,Win,2024-02-03 13:06:27,25
Gideon5543,Game1,Win,2023-12-25 06:49:00,50
Chaya8681,Game2,Lose,2024-02-07 09:19:45,55
Yigal1010,Game2,Lose,2023-12-31 06:06:10,35
Ilanit8016,Game1,Win,2024-01-29 04:08:18,35
Oded8989,Game1,Win,2023-12-16 02:42:41,20
Michal,Game1,Win,2024-03-03 11:20:24,55
Yael2580,Game1,Lose,2023-12-28 10:43:30,60
Dror,Game2,Win,2024-03-02 21:30:49,20
Alon1477,Game2,Win,2024-01-23 12:39:00,20
Asnat,Game2,Win,2024-03-01 14:03:02,10
Liat9408,Game2,Lose,2023-12-05 13:33:00,45
Iris5212,Game1,Lose,2024-02-18 17:00:45,65
Yossi4647,Game1,Lose,2023-12-14 20:41:48,55
Dror2197,Game1,Lose,2024-02-10 02:41:26,40
Tom6857,Game2,Lose,2023-12-11 12:39:04,90
Iris8953,Game1,Lose,2024-03-02 04:06:13,45
Ron9550,Game2,Win,2023-12-05 19:34:03,95
Amalia4245,Game1,Win,2024-01-04 00:46:04,85
Osnat,Game1,Lose,2024-01-20 00:21:45,75
Shulamit7679,Game2,Lose,2023-12-11 11:38:28,55
Leah9650,Game2,Lose,2023-12-05 06:35:53,70
Bar,Game2,Lose,2023-12-17 22:23:52,10
Yaeli8083,Game2,Win,2023-12-22 01:22:32,5
Tuvia6024,Game2,Win,2024-01-02 14:25:33,0
Oded4632,Game1,Win,2024-02-15 09:06:59,60
Eli9910,Game2,Lose,2024-03-02 13:46:03,10
Sigal8604,Game1,Lose,2024-02-18 02:37:55,40
Tomer,Game1,Win,2024-01-06 02:45:41,70
Amir,Game2,Win,2024-03-03 04:32:30,5
Stav,Game1,Win,2024-01-06 11:42:31,5
Yocheved3774,Game1,Win,2024-01-22 23:54:07,70
Yehudit7031,Game1,Win,2023-12-09 22:49:11,55
Vardit7486,Game1,Win,2024-02-21 13:35:55,100
Orit,Game2,Win,2024-02-09 07:53:10,80
Sivan5784,Game1,Lose,2023-12-06 15:16:44,5
Dana,Game2,Win,2024-02-28 04:41:55,100
Bar,Game1,Win,2023-12-01 03:04:57,65
Rina,Game1,Win,2023-12-06 09:15:20,30
Lilach,Game1,Lose,2024-02-15 10:54:09,85
Yigal1010,Game2,Lose,2024-01-03 05:03:51,70
Limor4102,Game2,Lose,2024-01-09 17:24:16,50
Yitzhak6730,Game1,Lose,2024-01-10 05:43:31,40
Yitzhak6656,Game1,Win,2024-01-06 05:39:42,40
Yossi9501,Game1,Win,2023-12-09 00:34:52,90
Yotam,Game1,Win,2024-01-18 14:50:10,20
Amram,Game1,Win,2024-02-02 11:11:51,65
Noam2968,Game1,Lose,2024-02-04 17:56:37,5
Anat7863,Game1,Lose,2024-02-15 20:58:24,45
Avital8822,Game1,Lose,2024-01-25 18:23:08,45
Sarit6840,Game1,Win,2024-01-26 12:27:05,40
Orit3713,Game2,Lose,2024-01-11 18:24:20,80
Sigalit9222,Game1,Lose,2024-01-20 18:24:21,30
Eli4997,Game2,Lose,2024-02-05 06:23:23,75
Adi,Game1,Win,2024-01-31 03:47:42,100
Yishai2209,Game2,Win,2024-01-23 06:19:08,10
Hadar,Game2,Lose,2023-12-13 15:06:00,80
Yigal1010,Game1,Lose,2023-12-17 14:16:37,35
Yfat9204,Game1,Lose,2024-02-17 19:10:42,15
Yaniv,Game1,Win,2023-12-11 21:46:27,100
Yanai948,Game2,Lose,2023-12-04 01:32:04,95
Noam2968,Game1,Win,2024-01-05 16:39:39,80
Omer,Game1,Win,2024-01-19 16:43:04,75
Yuval,Game1,Win,2023-12-23 14:12:09,90
Tova9899,Game2,Win,2024-02-11 09:14:57,65
Eran,Game1,Win,2024-01-21 00:14:34,5
Gadi,Game2,Lose,2024-01-09 00:23:29,5
Roi9898,Game1,Win,2024-02-16 17:27:41,45
Omer,Game1,Lose,2024-02-15 06:51:20,25
Sigal712,Game2,Lose,2023-12-22 07:04:15,15
Yonina4263,Game2,Lose,2023-12-08 06:55:13,65
Hadar5386,Game1,Lose,2024-01-08 17:05:05,100
Yitzhak6730,Game2,Win,2024-03-01 09:51:49,55
Eitan4767,Game2,Win,2024-01-23 14:42:39,85
Eli,Game1,Win,2023-12-14 17:16:23,95
Chaya9289,Game1,Win,2023-12-14 15:34:46,30
Orit,Game2,Win,2023-12-25 05:06:24,5
Arik,Game2,Win,2023-12-25 14:40:54,55
Hodaya,Game2,Win,2024-01-17 04:15:46,100
Gideon1084,Game1,Lose,2024-01-16 18:07:30,100
Noam2968,Game2,Win,2023-12-11 21:40:07,35
Matan,Game1,Lose,2024-03-03 04:44:35,65
Asnat,Game1,Win,2023-12-20 07:18:41,5
Sarit,Game2,Win,2024-01-08 02:37:30,80
Yishai2080,Game1,Lose,2023-12-14 12:45:23,20
Vardit,Game1,Win,2024-01-03 12:21:08,20
Vered,Game2,Win,2024-01-25 11:57:57,25
Shira2672,Game1,Win,2024-02-02 01:02:02,85
Yariv8887,Game1,Lose,2024-02-14 00:47:36,40
Ami,Game2,Lose,2024-01-17 01:42:31,35
Yitzhak6656,Game2,Win,2023-12-23 04:01:16,25
Amira,Game1,Win,2023-12-09 13:09:05,90
Amram2249,Game1,Lose,2024-02-18 02:34:15,20
Irit,Game2,Win,2023-12-12 23:53:44,35
Lilach6642,Game1,Lose,2023-12-02 07:04:50,90
Shulamit407,Game1,Lose,2024-01-07 03:30:51,95
Esti5198,Game1,Win,2023-12-06 04:00:36,5
Kfir,Game1,Win,2023-12-15 11:00:28,100
Lilach795,Game2,Win,2023-12-31 08:35:03,85
Oz6459,Game2,Win,2023-12-08 02:49:48,0
Tova,Game2,Lose,2024-02-29 22:47:50,30
Noa,Game1,Lose,2024-02-12 00:34:49,10
Maya6459,Game2,Win,2024-02-19 04:02:03,55
Dudu,Game1,Lose,2024-01-31 09:42:18,20
Shulamit7679,Game1,Lose,2023-12-31 16:42:33,55
Shulamit6853,Game1,Win,2023-12-17 04:18:40,70
Tali4817,Game2,Win,2023-12-27 17:23:12,85
Orly3565,Game2,Win,2024-01-16 13:00:56,10
Tal,Game2,Win,2024-01-12 16:30:15,15
Tali5497,Game2,Lose,2024-03-03 22:24:22,40
Yehudit848,Game2,Lose,2024-01-13 15:16:42,35
Limor921,Game1,Win,2024-02-19 14:19:01,80
Leah5996,Game1,Lose,2023-12-12 19:46:29,10
Gideon1084,Game1,Win,2024-01-21 03:12:16,85
Shira7205,Game1,Lose,2024-01-15 06:49:11,40
Hadar5460,Game2,Win,2023-12-31 09:55:00,35
Ami,Game2,Lose,2024-02-22 10:40:01,45
